hour,is_night,location_risk_score,previous_incidents,battery_level,sos_frequency,distance_to_safe_km,area_type,is_moving,risk_score,risk_label
2,1,43.89,6,44,4,4.21,0,1,88.93,3
23,1,78.61,4,14,4,2.29,2,0,100.0,3
9,0,44.34,6,46,1,3.37,0,1,50.93,2
19,1,75.81,5,36,0,5.37,1,1,91.96,3
8,0,4.38,3,55,0,4.13,1,0,40.13,1
23,1,37.05,0,48,3,0.87,1,0,61.74,2
13,0,43.72,5,17,4,4.23,0,1,85.41,3
19,1,38.75,7,30,1,0.92,0,1,71.76,2
19,1,66.49,6,48,3,4.71,1,1,98.71,3
13,0,11.45,3,67,3,3.43,1,0,59.09,2
13,0,55.92,4,79,1,0.28,0,1,36.74,1
5,1,85.34,0,24,4,1.76,0,0,81.6,3
3,1,78.39,4,99,3,2.5,2,0,98.55,3
4,1,9.0,6,72,3,1.05,1,0,78.47,3
11,0,44.62,5,18,1,1.88,1,1,63.42,2
8,0,11.8,2,96,1,4.23,0,1,45.89,1
6,0,71.69,6,79,2,1.71,0,0,57.95,2
21,1,20.24,5,31,4,1.14,2,1,97.88,3
11,0,43.21,5,32,3,3.55,1,1,79.4,3
2,1,4.16,1,50,0,0.95,0,0,34.67,1
19,1,92.51,1,98,2,2.15,1,0,69.59,2
0,1,48.23,3,78,0,2.97,1,0,67.77,2
3,1,47.35,4,81,1,2.06,1,1,70.78,2
10,0,82.63,0,89,2,3.37,0,0,45.93,1
2,1,65.94,2,73,3,4.64,0,1,79.71,3
21,1,3.74,1,56,2,5.0,2,0,87.95,3
4,1,29.09,7,62,2,1.61,2,0,91.98,3
3,1,43.51,7,99,0,4.52,2,1,87.13,3
2,1,31.59,4,4,3,4.0,0,1,100.0,3
2,1,26.25,0,93,4,0.82,2,0,80.5,3
17,0,59.94,1,72,4,1.26,0,1,43.45,1
18,0,50.07,3,16,4,1.45,0,0,70.89,2
23,1,50.63,0,92,3,3.53,0,1,75.38,3
19,1,73.9,6,14,2,5.57,0,0,98.69,3
3,1,66.29,3,32,4,1.79,2,0,100.0,3
0,1,63.4,6,12,3,2.57,2,0,100.0,3
4,1,80.44,7,44,2,4.73,0,1,87.07,3
2,1,79.68,3,24,1,3.68,2,1,100.0,3
6,0,37.42,3,92,2,3.95,2,0,84.93,3
10,0,23.67,7,75,4,0.72,0,1,47.96,1
8,0,82.47,1,33,1,0.95,2,1,58.67,2
3,1,15.36,3,13,2,0.43,0,0,72.8,2
10,0,68.07,4,80,1,1.98,1,1,49.24,1
21,1,4.35,3,19,4,1.57,1,0,91.48,3
6,0,37.36,0,92,2,0.7,2,0,56.32,2
1,1,9.91,6,84,4,5.88,2,1,100.0,3
15,0,77.9,5,74,0,3.26,1,1,45.46,1
20,1,38.51,5,64,1,0.92,1,0,69.77,2
14,0,36.75,1,51,1,2.03,0,0,31.29,1
16,0,94.89,5,91,4,2.04,1,0,78.37,3
11,0,80.44,5,56,2,3.83,0,0,59.67,2
17,0,69.48,4,86,4,3.72,0,0,72.58,2
13,0,93.59,0,72,0,5.76,2,0,70.59,2
14,0,79.51,7,94,0,3.58,0,0,52.49,2
3,1,57.24,4,48,2,3.18,1,1,89.77,3
19,1,59.96,1,93,4,0.79,0,0,66.63,2
17,0,77.43,3,22,3,2.07,2,1,82.98,3
18,0,36.42,4,32,1,0.97,2,0,66.11,2
17,0,72.97,3,19,2,5.62,1,1,85.99,3
11,0,98.66,0,72,4,0.8,2,1,61.18,2
2,1,58.83,0,5,3,0.17,1,1,78.5,3
19,1,45.85,2,45,0,5.52,1,0,65.23,2
9,0,87.92,7,69,1,5.04,0,1,61.54,2
23,1,65.01,4,10,3,0.27,0,1,90.11,3
20,1,19.82,6,3,4,3.97,0,0,100.0,3
0,1,60.59,7,80,4,5.11,0,0,97.09,3
23,1,77.21,7,84,3,5.04,0,0,100.0,3
4,1,63.0,0,85,2,4.43,0,0,69.74,2
2,1,98.02,5,75,3,0.42,1,0,86.86,3
1,1,70.96,3,18,1,1.18,2,0,97.38,3
13,0,63.64,6,87,2,0.96,2,1,60.48,2
7,0,69.98,2,65,2,0.98,1,1,49.81,1
21,1,11.92,3,97,0,1.74,0,1,51.08,2
10,0,63.46,7,42,0,1.38,1,0,41.57,1
22,1,41.84,0,48,2,1.43,1,0,60.37,2
13,0,64.79,4,65,3,4.75,1,0,70.15,2
12,0,36.07,5,96,2,4.45,2,0,83.98,3
22,1,52.03,2,80,1,5.04,1,0,80.25,3
1,1,84.2,0,82,0,1.76,0,0,55.41,2
4,1,74.27,7,3,2,5.15,0,1,100.0,3
5,1,11.97,4,51,1,5.75,2,0,93.56,3
18,0,68.77,1,71,3,3.88,0,0,60.0,2
18,0,16.38,4,71,0,5.03,2,1,56.91,2
13,0,99.03,5,15,2,2.42,0,0,80.06,3
0,1,46.93,3,92,0,1.17,2,1,62.46,2
1,1,29.21,1,50,4,3.01,0,1,62.68,2
20,1,63.76,6,56,3,4.05,1,1,92.73,3
1,1,53.95,7,35,4,2.95,1,1,100.0,3
8,0,90.96,4,31,2,5.12,0,1,74.59,2
11,0,10.5,0,41,4,3.82,0,1,48.46,1
7,0,2.48,1,61,4,2.74,0,0,42.06,1
14,0,27.8,1,70,2,5.89,1,1,60.16,2
23,1,90.33,6,52,3,5.78,1,0,100.0,3
20,1,73.24,6,45,3,3.96,2,1,95.11,3
3,1,73.38,2,97,3,2.14,0,0,73.87,2
0,1,48.97,7,98,4,5.87,0,0,90.04,3
15,0,55.55,0,54,4,5.56,2,0,73.59,2
0,1,4.87,2,12,4,4.31,1,1,94.74,3
17,0,80.09,5,39,0,1.48,1,0,58.06,2
20,1,51.46,2,68,2,2.47,2,0,97.05,3
6,0,85.28,1,53,1,5.13,0,1,50.55,2
14,0,27.48,4,88,4,0.6,0,0,40.54,1
10,0,99.87,6,64,1,2.51,0,0,49.1,1
13,0,39.24,3,91,1,0.89,0,0,30.03,1
8,0,1.77,1,31,2,3.84,0,0,42.86,1
10,0,75.2,4,55,4,5.39,0,0,64.82,2
21,1,52.95,7,98,3,3.59,1,0,88.04,3
7,0,32.25,1,17,1,1.77,1,1,56.47,2
14,0,43.84,6,86,2,5.97,1,0,67.57,2
19,1,78.76,3,20,0,0.7,1,1,68.91,2
18,0,43.3,4,15,0,5.76,0,0,57.21,2
0,1,6.55,7,46,1,1.94,0,1,57.62,2
15,0,6.05,3,89,3,1.32,0,0,45.78,1
9,0,0.17,2,12,2,0.11,1,1,47.6,1
0,1,43.13,2,56,3,5.06,0,0,73.35,2
7,0,47.99,6,68,1,2.05,2,0,65.84,2
11,0,71.16,3,20,0,0.38,0,0,40.83,1
22,1,18.83,6,5,0,3.76,0,0,87.62,3
5,1,84.94,4,50,0,5.13,1,0,81.25,3
3,1,85.55,2,26,1,2.78,1,1,90.09,3
1,1,81.32,2,16,1,4.82,1,0,100.0,3
5,1,31.76,6,9,4,2.14,0,0,94.1,3
15,0,70.81,5,31,3,1.97,2,0,94.55,3
14,0,14.37,5,69,0,3.09,2,0,63.31,2
22,1,99.31,0,58,2,0.85,2,0,85.48,3
21,1,62.18,1,28,3,3.61,0,0,87.33,3
23,1,1.82,6,7,2,1.46,2,1,95.73,3
6,0,55.35,4,40,3,4.38,1,1,71.29,2
17,0,41.93,7,92,2,0.17,1,0,47.95,1
12,0,9.41,6,89,3,4.13,0,0,56.37,2
